4793 aC 6 ./all_structures/aC/5_3.xyz 39
18061 aC_func_COOH 1 ./all_structures/aC_func/COOH/33.xyz 219
94900 aC_O 8 ./all_structures/aC_O/O4_1800K_3.xyz 219
88777 aC_H 1 ./all_structures/aC_H/09_1.xyz 321
17178 aC_func_COOH 6 ./all_structures/aC_func/COOH/29.xyz 216
76190 aC_H 6 ./all_structures/aC_H/01_1.xyz 71
38067 aC_func_H 1 ./all_structures/aC_func/H/78.xyz 216
56295 aC_func_O 8 ./all_structures/aC_func/O/67.xyz 216
22178 aC_func_H 6 ./all_structures/aC_func/H/05.xyz 168
80339 aC_H 6 ./all_structures/aC_H/03_4.xyz 173
83500 aC_H 1 ./all_structures/aC_H/05_4.xyz 245
16960 aC_func_COOH 8 ./all_structures/aC_func/COOH/28.xyz 218
62166 aC_func_OH 1 ./all_structures/aC_func/OH/12.xyz 217
98621 CO 6 ./all_structures/CO/02.xyz 20
85020 aC_H 1 ./all_structures/aC_H/06_4.xyz 239
98705 CO 8 ./all_structures/CO/02.xyz 104
21575 aC_func_H 1 ./all_structures/aC_func/H/02.xyz 216
77594 aC_H 1 ./all_structures/aC_H/01_5.xyz 245
96811 aC_O 6 ./all_structures/aC_O/O8_1200K_3.xyz 50
82501 aC_H 6 ./all_structures/aC_H/05_1.xyz 178
86125 aC_H 6 ./all_structures/aC_H/07_3.xyz 107
73719 aC_func_OH 8 ./all_structures/aC_func/OH/65.xyz 216
86321 aC_H 1 ./all_structures/aC_H/07_3.xyz 303
29375 aC_func_H 6 ./all_structures/aC_func/H/38.xyz 204
18719 aC_func_COOH 8 ./all_structures/aC_func/COOH/36.xyz 217
69142 aC_func_OH 1 ./all_structures/aC_func/OH/44.xyz 217
37480 aC_func_H 6 ./all_structures/aC_func/H/76.xyz 63
84141 aC_H 1 ./all_structures/aC_H/06_1.xyz 284
59985 aC_func_OH 8 ./all_structures/aC_func/OH/02.xyz 216
45367 aC_func_O 6 ./all_structures/aC_func/O/17.xyz 138
98598 CO 8 ./all_structures/CO/01.xyz 213
79922 aC_H 6 ./all_structures/aC_H/03_3.xyz 64
86015 aC_H 1 ./all_structures/aC_H/07_2.xyz 305
11901 aC_func_COOH 1 ./all_structures/aC_func/COOH/05.xyz 219
15520 aC_func_COOH 6 ./all_structures/aC_func/COOH/22.xyz 98
73938 aC_func_OH 1 ./all_structures/aC_func/OH/66.xyz 217
89426 aC_H 1 ./all_structures/aC_H/09_3.xyz 293
12338 aC_func_COOH 6 ./all_structures/aC_func/COOH/07.xyz 216
98703 CO 8 ./all_structures/CO/02.xyz 102
89578 aC_H 6 ./all_structures/aC_H/09_4.xyz 141
82256 aC_H 1 ./all_structures/aC_H/04_5.xyz 225
32425 aC_func_H 1 ./all_structures/aC_func/H/52.xyz 216
81779 aC_H 6 ./all_structures/aC_H/04_4.xyz 54
95591 aC_O 8 ./all_structures/aC_O/O8_0300K_3.xyz 222
35284 aC_func_H 6 ./all_structures/aC_func/H/66.xyz 37
60916 aC_func_OH 6 ./all_structures/aC_func/OH/07.xyz 57
85688 aC_H 1 ./all_structures/aC_H/07_1.xyz 281
89692 aC_H 1 ./all_structures/aC_H/09_4.xyz 255
70449 aC_func_OH 8 ./all_structures/aC_func/OH/50.xyz 216
98625 CO 6 ./all_structures/CO/02.xyz 24
80411 aC_H 1 ./all_structures/aC_H/03_4.xyz 245
98739 CO 8 ./all_structures/CO/02.xyz 138
85398 aC_H 1 ./all_structures/aC_H/06_5.xyz 289
82703 aC_H 6 ./all_structures/aC_H/05_2.xyz 74
98772 CO 6 ./all_structures/CO/03.xyz 28
98374 aC_O 8 ./all_structures/aC_O/O8_1800K_3.xyz 221
86822 aC_H 6 ./all_structures/aC_H/07_5.xyz 173
72848 aC_func_OH 1 ./all_structures/aC_func/OH/61.xyz 217
78924 aC_H 1 ./all_structures/aC_H/02_4.xyz 297
98203 aC_O 6 ./all_structures/aC_O/O8_1800K_3.xyz 50
55077 aC_func_O 6 ./all_structures/aC_func/O/62.xyz 83
84087 aC_H 1 ./all_structures/aC_H/06_1.xyz 230
98736 CO 8 ./all_structures/CO/02.xyz 135
93904 aC_O 6 ./all_structures/aC_O/O4_1500K_2.xyz 119
36114 aC_func_H 1 ./all_structures/aC_func/H/69.xyz 216
13438 aC_func_COOH 6 ./all_structures/aC_func/COOH/12.xyz 216
81320 aC_H 6 ./all_structures/aC_H/04_2.xyz 213
96055 aC_O 8 ./all_structures/aC_O/O8_0600K_2.xyz 222
76738 aC_H 1 ./all_structures/aC_H/01_2.xyz 297
98755 CO 6 ./all_structures/CO/03.xyz 11
19599 aC_func_COOH 8 ./all_structures/aC_func/COOH/40.xyz 217
81323 aC_H 1 ./all_structures/aC_H/04_2.xyz 216
87770 aC_H 1 ./all_structures/aC_H/08_3.xyz 236
79046 aC_H 6 ./all_structures/aC_H/02_5.xyz 95
63909 aC_func_OH 8 ./all_structures/aC_func/OH/20.xyz 216
65000 aC_func_OH 1 ./all_structures/aC_func/OH/25.xyz 217
86051 aC_H 6 ./all_structures/aC_H/07_3.xyz 33
85670 aC_H 1 ./all_structures/aC_H/07_1.xyz 263
64710 aC_func_OH 6 ./all_structures/aC_func/OH/24.xyz 145
96208 aC_O 6 ./all_structures/aC_O/O8_0600K_3.xyz 143
18720 aC_func_COOH 8 ./all_structures/aC_func/COOH/36.xyz 218
79183 aC_H 1 ./all_structures/aC_H/02_5.xyz 232
80384 aC_H 1 ./all_structures/aC_H/03_4.xyz 218
98696 CO 8 ./all_structures/CO/02.xyz 95
